CardID,CardName,count_win,count_total,winRate
97d18bbe-6fa9-45a4-90a9-5a1d0ea24ca3,A Fatal Melting,118,141,0.8368794326241135
6f23bf7b-49c3-4a30-aa84-542ab9f939d0,Adaptive Mutation,83,94,0.8829787234042553
141494fe-0ac3-41ad-b1e6-05aeafe060f6,Alloy of the Ancients,166,188,0.8829787234042553
3db9cb2c-3495-47a7-983e-d717a206460c,Alloyed Construct,32,63,0.5079365079365079
4aa37169-c5cf-4a5b-b927-dc31b05f6e24,Alpha Fiend,26,79,0.3291139240506329
acc7bdd1-8f5b-4738-8c4a-4542792e7388,Ancient Synergy,83,97,0.8556701030927835
d632e3f2-c5cf-49d0-aa05-0c79331f6c85,Animus of Speed,25,38,0.6578947368421053
e66178fd-b8e7-401c-b570-7832840ea902,Animus of Will,118,144,0.8194444444444444
fe73da55-8250-4f96-b3e0-91c19b3e60de,Antumbra Assault,151,262,0.5763358778625954
a83756a0-7264-47d1-a661-d8ab2420fe29,Apex Imp,21,21,1.0
118b9c0c-48a6-4d9e-99e8-477ae571a18f,Automatic Railspikes,10,13,0.7692307692307693
57921ae8-ca98-4a3b-a659-5e741d2e904a,Awake,91,119,0.7647058823529411
0c68b12a-0779-4c3c-bf64-6bc5bcf83e9f,Awoken Hollow,47,66,0.7121212121212122
a6a701f6-cb73-4880-b9b3-ed1abb3b23d4,Awoken's Rail Spike,178,204,0.8725490196078431
fc525983-11ed-4612-997e-b53b07b52d48,Battering Ram,39,54,0.7222222222222222
5336f488-1e09-40a5-97bc-5a5fde3c5e55,Big Sludge,58,75,0.7733333333333333
c778fab6-585a-40ea-9f26-c460b8b82eae,Blazing Bolts (2),40,55,0.7272727272727273
0130a4a0-2269-4003-97e1-58d1f5ce3bd8,Blazing Bolts (4),1,6,0.16666666666666666
27b0fdda-5dc4-4280-a510-fe51e550e3fb,Bog Chrysalis,63,66,0.9545454545454546
04d77166-b94f-49b6-a6b9-08b7fc455b29,Bone Dog's Favor,61,64,0.953125
